provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
la pampa,general pico,-35.5797743389588,-63.6162726702493,2024-01-15,31.5,13.6,0.9,17.7
entre rios,parana,-31.7493555782411,-60.5012038041556,2024-01-15,30.2,16.8,0.0,11.4
santa fe,santa fe,-31.6551557198768,-60.6387714502483,2024-01-15,30.8,19.6,0.0,11.6
santa fe,venado tuerto,-33.7518202806305,-61.9744594399441,2024-01-15,28.7,15.2,0.6,15.2
rio negro,san carlos de bariloche,-41.1027302002542,-71.4559580663114,2024-01-15,19.4,11.4,0.0,15.0
formosa,formosa,-26.1958636875285,-58.217344420551,2024-01-15,32.4,25.5,0.2,18.8
neuquen,plottier,-38.9485618927944,-68.2773560021318,2024-01-15,31.4,17.3,0.0,28.2
chubut,rawson,-43.2585661871389,-65.0886233411269,2024-01-15,23.8,17.8,0.0,33.6
corrientes,corrientes,-27.4938209223809,-58.7708839553989,2024-01-15,31.8,24.9,11.3,15.0
santa fe,rosario,-32.9489590048173,-60.6980842962309,2024-01-15,30.0,15.8,0.0,12.4
neuquen,neuquen,-38.9420814031729,-68.103829401365,2024-01-15,31.9,17.4,0.0,26.3
jujuy,palpala,-24.1949225159114,-65.1264498098014,2024-01-15,28.0,19.1,10.3,12.2
buenos aires,bahia blanca,-38.5841892125766,-62.1694174494126,2024-01-15,31.7,20.6,0.1,30.0
buenos aires,balcarce,-37.7146198082256,-58.2717475616573,2024-01-15,31.0,13.7,0.0,26.6
buenos aires,necochea,-38.2554110045679,-59.1673869468897,2024-01-15,31.4,14.5,0.0,27.8
buenos aires,ituzaingo,-34.6360716118623,-58.6887595155803,2024-01-15,30.2,17.5,0.0,15.3
buenos aires,presidente peron,-34.9298478405731,-58.3980842106611,2024-01-15,30.5,18.2,0.0,15.1
san luis,san luis,-33.3035158233766,-66.3434777445641,2024-01-15,30.9,17.6,0.7,28.4
rio negro,viedma,-41.0292614690091,-63.3267607269368,2024-01-15,25.5,16.7,0.0,23.4
cordoba,rio cuarto,-33.115558002371,-64.3570883812807,2024-01-15,29.2,16.1,0.0,21.4
